NCBI GeneID	Symbol	Description	Taxonomic Name	Common Name
3511423	AFUA_5G09580	conidial hydrophobin Hyp1/RodA	Aspergillus fumigatus Af293	
3511510	AFUA_5G08550	Rho guanyl nucleotide exchange factor (Rom2), putative	Aspergillus fumigatus Af293	
3511583	AFUA_5G11970	protein kinase c	Aspergillus fumigatus Af293	
3511591	AFUA_5G08580	alpha-1,6-mannosyltransferase subunit (Och1), putative	Aspergillus fumigatus Af293	
3511687	AFUA_5G12730	nonribosomal peptide synthase, putative	Aspergillus fumigatus Af293	
3511700	AFUA_5G05840	calcium channel subunit Mid1	Aspergillus fumigatus Af293	
3511764	AFUA_3G13340	Rho-like small GTPase, putative	Aspergillus fumigatus Af293	
3511869	AFUA_3G06830	aspartate-semialdehyde dehydrogenase	Aspergillus fumigatus Af293	
3512102	AFUA_3G11250	C2H2 transcription factor (Swi5), putative	Aspergillus fumigatus Af293	
3512168	AFUA_3G10690	calcium-translocating P-type ATPase(PMCA-type),putative	Aspergillus fumigatus Af293	
3512174	AFUA_3G08520	SRF-type transcription factor RlmA	Aspergillus fumigatus Af293	
3512350	AFUA_3G09850	DNA mismatch repair protein Msh2, putative	Aspergillus fumigatus Af293	
3512418	AFUA_3G13730	nonribosomal peptide synthase, putative	Aspergillus fumigatus Af293	
3512497	AFUA_3G14150	F-box domain protein	Aspergillus fumigatus Af293	
3512542	AFUA_3G11380	ARID/BRIGHT domain protein (SWI1), putative	Aspergillus fumigatus Af293	
3512626	AFUA_3G12920	nonribosomal peptide synthase GliP-like, putative	Aspergillus fumigatus Af293	
3512647	AFUA_3G06300	Rho GTPase Rac, putative	Aspergillus fumigatus Af293	
3512708	AFUA_2G17960	NADPH dehydrogenase Oye3, putative	Aspergillus fumigatus Af293	
3512716	AFUA_2G18040	dimethylallyl tryptophan synthase FgaPT2	Aspergillus fumigatus Af293	
3512978	AFUA_2G13060	calcineurin binding protein, putative	Aspergillus fumigatus Af293	
3513211	AFUA_2G08360	orotidine 5'-phosphate decarboxylase PyrG	Aspergillus fumigatus Af293	
3513503	AFUA_2G07720	cytochrome b5, putative	Aspergillus fumigatus Af293	
3513687	AFUA_2G10660	mannitol-1-phosphate dehydrogenase	Aspergillus fumigatus Af293	
3506018	AFUA_3G00910	alpha-1,3-glucan synthase Ags1	Aspergillus fumigatus Af293	
