NCBI GeneID	Symbol	Description	Taxonomic Name	Common Name
3506414	AFUA_7G05980	small nuclear ribonucleoprotein SmE, putative	Aspergillus fumigatus Af293	
3506415	AFUA_7G05970	mRNA transport regulator (Mtr10), putative	Aspergillus fumigatus Af293	
3506416	AFUA_7G05960	C2H2 finger domain protein, putative	Aspergillus fumigatus Af293	
3506417	AFUA_7G05950	cytokinesis EF-hand protein Cdc4, putative	Aspergillus fumigatus Af293	
3506419	AFUA_7G05930	metallopeptidase MepB	Aspergillus fumigatus Af293	
3506422	AFUA_7G03910	C2H2 zinc finger protein	Aspergillus fumigatus Af293	
3506424	AFUA_7G03890	condensin complex component cnd2	Aspergillus fumigatus Af293	
3506425	AFUA_7G03880	sodium/calcium exchanger protein	Aspergillus fumigatus Af293	
3506426	AFUA_7G03870	actin cortical patch assembly protein Pan1, putative	Aspergillus fumigatus Af293	
3506427	AFUA_7G03990	uridylate kinase Ura6	Aspergillus fumigatus Af293	
3506428	AFUA_7G03980	PCI domain protein	Aspergillus fumigatus Af293	
3506430	AFUA_7G03960	thioesterase family protein	Aspergillus fumigatus Af293	
3506432	AFUA_7G03940	alpha,alpha-trehalose phosphate synthase subunit TPS3, putative	Aspergillus fumigatus Af293	
3506434	AFUA_7G06520	CAIB/BAIF family enzyme	Aspergillus fumigatus Af293	
3506435	AFUA_7G06510	acyl-CoA dehydrogenase, putative	Aspergillus fumigatus Af293	
3506436	AFUA_7G06500	fungal specific transcription factor, putative	Aspergillus fumigatus Af293	
3506437	AFUA_7G06490	deoxyribose-phosphate aldolase	Aspergillus fumigatus Af293	
3506440	AFUA_7G06460	cell wall organization protein/glutathione transferase (Gto3), putative	Aspergillus fumigatus Af293	
3506441	AFUA_7G06090	fatty-acyl coenzyme A oxidase (Pox1), putative	Aspergillus fumigatus Af293	
3506442	AFUA_7G06080	ubiE/COQ5 methyltransferase, putative	Aspergillus fumigatus Af293	
3506444	AFUA_7G06060	siderochrome-iron transporter Sit1, putative	Aspergillus fumigatus Af293	
3506445	AFUA_7G06050	DNA damage-inducible v-SNARE binding protein Ddi1, putative	Aspergillus fumigatus Af293	
3506446	AFUA_7G06040	integral membrane protein, putative	Aspergillus fumigatus Af293	
3506447	AFUA_7G05120	integral membrane protein (Pth11), putative	Aspergillus fumigatus Af293	
3506449	AFUA_7G05100	hexose transporter protein	Aspergillus fumigatus Af293	
3506450	AFUA_7G05090	glucuronyl hydrolase, putative	Aspergillus fumigatus Af293	
3506452	AFUA_7G05080	C6 transcription factor, putative	Aspergillus fumigatus Af293	
3506453	AFUA_7G06200	ankyrin repeat protein	Aspergillus fumigatus Af293	
3506456	AFUA_7G06170	thiamin pyrophosphokinase-related protein	Aspergillus fumigatus Af293	
3506458	AFUA_7G06150	endoglucanase, putative	Aspergillus fumigatus Af293	
3506460	AFUA_7G04500	ATP phosphoribosyltransferase His1, putative	Aspergillus fumigatus Af293	
3506461	AFUA_7G04490	Ribosomal protein S28e	Aspergillus fumigatus Af293	
3506462	AFUA_7G04480	DNA mismatch repair protein Msh3	Aspergillus fumigatus Af293	
3506464	AFUA_7G04460	Rab geranylgeranyltransferase, beta subunit	Aspergillus fumigatus Af293	
3506465	AFUA_7G04450	Rho GTPase activator (Bem2), putative	Aspergillus fumigatus Af293	
3506468	AFUA_7G04040	hexokinase, putative	Aspergillus fumigatus Af293	
3506470	AFUA_7G04020	lipase, putative	Aspergillus fumigatus Af293	
3506474	AFUA_7G07100	Pfs, NACHT and WD domain protein	Aspergillus fumigatus Af293	
3506475	AFUA_7G07090	zinc knuckle domain protein	Aspergillus fumigatus Af293	
3506479	AFUA_7G06730	FAD monooxygenase, putative	Aspergillus fumigatus Af293	
3506480	AFUA_7G06720	tannase, putative	Aspergillus fumigatus Af293	
3506482	AFUA_7G06700	Rieske [2Fe-2S] domain protein	Aspergillus fumigatus Af293	
3506483	AFUA_7G06690	flavin-containing monooxygenase, putative	Aspergillus fumigatus Af293	
3506484	AFUA_7G06680	AAA family ATPase, putative	Aspergillus fumigatus Af293	
3506485	AFUA_7G06670	NACHT and TPR domain protein	Aspergillus fumigatus Af293	
3506487	AFUA_7G04360	alcohol dehydrogenase	Aspergillus fumigatus Af293	
3506488	AFUA_7G04350	mandelate racemase/muconate lactonizing enzyme family protein	Aspergillus fumigatus Af293	
3506489	AFUA_7G04340	C6 transcription factor, putative	Aspergillus fumigatus Af293	
3506490	AFUA_7G04330	Ste20-like serine/threonine protein kinase, putative	Aspergillus fumigatus Af293	
3506491	AFUA_7G05800	fructose-2,6-bisphosphatase	Aspergillus fumigatus Af293	
3506492	AFUA_7G05790	vacuolar morphogenesis protein AvaB, putative	Aspergillus fumigatus Af293	
3506499	AFUA_7G04430	ribosome biogenesis protein (Rrs1), putative	Aspergillus fumigatus Af293	
3506500	AFUA_7G04420	mitochondrial ribosomal protein DAP3, putative	Aspergillus fumigatus Af293	
3506505	AFUA_7G04380	alcohol dehydrogenase, putative	Aspergillus fumigatus Af293	
3506506	AFUA_7G05340	cellular morphogenesis protein (Rax2), putative	Aspergillus fumigatus Af293	
3506508	AFUA_7G05320	DNA N-glycosylase, putative	Aspergillus fumigatus Af293	
3506510	AFUA_7G05310	splicing factor u2af large subunit	Aspergillus fumigatus Af293	
3506512	AFUA_7G05290	40S ribosomal protein S13	Aspergillus fumigatus Af293	
3506514	AFUA_7G05270	COMPASS complex subunit Sdc1, putative	Aspergillus fumigatus Af293	
3506515	AFUA_7G05260	transformer-SR ribonucleoprotein, putative	Aspergillus fumigatus Af293	
3506516	AFUA_7G05250	PHD finger domain protein, putative	Aspergillus fumigatus Af293	
3506517	AFUA_7G04130	topoisomerase family protein TRF4, putative	Aspergillus fumigatus Af293	
3506518	AFUA_7G04120	DUF636 domain protein	Aspergillus fumigatus Af293	
3506519	AFUA_7G04110	protein kinase C substrate, putative	Aspergillus fumigatus Af293	
3506522	AFUA_7G04080	3-ketoacyl-CoA thiolase (POT1), putative	Aspergillus fumigatus Af293	
3506523	AFUA_7G04070	phospho-2-dehydro-3-deoxyheptonate aldolase	Aspergillus fumigatus Af293	
3506524	AFUA_7G04320	UBX domain protein (Ubx5), putative	Aspergillus fumigatus Af293	
3506525	AFUA_7G04310	cell division control protein Cdc6, putative	Aspergillus fumigatus Af293	
3506526	AFUA_7G04300	RhoGAP and Fes/CIP4 domain protein	Aspergillus fumigatus Af293	
3506527	AFUA_7G04290	amino acid permease (Gap1), putative	Aspergillus fumigatus Af293	
3506528	AFUA_7G04280	small nuclear ribonucleoprotein (LSM5), putative	Aspergillus fumigatus Af293	
3506529	AFUA_7G04270	3'-5' exonuclease/helicase (Wrn), putative	Aspergillus fumigatus Af293	
3506530	AFUA_7G04260	peroxisome biosynthesis protein (Peroxin-10), putative	Aspergillus fumigatus Af293	
3506531	AFUA_7G04250	protein-ER retention protein (Erd1), putative	Aspergillus fumigatus Af293	
3506533	AFUA_7G04220	protein required for cell viability Rrp17, putative	Aspergillus fumigatus Af293	
3506534	AFUA_7G04210	tropomyosin, putative	Aspergillus fumigatus Af293	
3506536	AFUA_7G04190	cyclopropane-fatty-acyl-phospholipid synthase, putative	Aspergillus fumigatus Af293	
3506537	AFUA_7G06320	C6 transcription factor, putative	Aspergillus fumigatus Af293	
3506540	AFUA_7G06290	Pfs, NACHT, and Ankyrin domain protein	Aspergillus fumigatus Af293	
3506542	AFUA_7G06270	cyanamide hydratase, putative	Aspergillus fumigatus Af293	
3506543	AFUA_7G04180	amine oxidase	Aspergillus fumigatus Af293	
3506544	AFUA_7G04170	C6 transcription factor, putative	Aspergillus fumigatus Af293	
3506545	AFUA_7G04160	integral peroxisomal membrane protein	Aspergillus fumigatus Af293	
3506546	AFUA_7G04150	cochaperone Pam16	Aspergillus fumigatus Af293	
3506547	AFUA_7G04140	L-galactose dehydrogenase (L-GalDH), putative	Aspergillus fumigatus Af293	
3506548	AFUA_7G08340	subtilisin-like alkaline protease, putative	Aspergillus fumigatus Af293	
3506550	AFUA_7G08320	heat shock transcription factor, putative	Aspergillus fumigatus Af293	
3506553	AFUA_7G06850	phosphoserine phosphatase, putative	Aspergillus fumigatus Af293	
3506554	AFUA_7G06840	class III aminotransferase, putative	Aspergillus fumigatus Af293	
3506555	AFUA_7G06830	MFS tranporter, putative	Aspergillus fumigatus Af293	
3506556	AFUA_7G06820	galactose oxidase, putative	Aspergillus fumigatus Af293	
3506557	AFUA_7G06810	L-amino acid oxidase LaoA	Aspergillus fumigatus Af293	
3506558	AFUA_7G06800	glutamyl-tRNA(Gln) amidotransferase, subunit A	Aspergillus fumigatus Af293	
3506559	AFUA_7G06030	alpha-ketoglutarate-dependent taurine dioxygenase	Aspergillus fumigatus Af293	
3506560	AFUA_7G06020	non-repetitive nucleoporin, putative	Aspergillus fumigatus Af293	
3506563	AFUA_7G05990	5-formyltetrahydrofolate cyclo-ligase, putative	Aspergillus fumigatus Af293	
3506567	AFUA_7G07120	metalloreductase, putative	Aspergillus fumigatus Af293	
3506568	AFUA_7G05240	PROBABLE O-SIALOGLYCOPROTEIN ENDOPEPTIDASE	Aspergillus fumigatus Af293	
3506570	AFUA_7G05220	mitochondrial carrier protein, putative	Aspergillus fumigatus Af293	
3506571	AFUA_7G05210	CTP synthase, putative	Aspergillus fumigatus Af293	
3506573	AFUA_7G08290	vegetative incompatibility WD repeat protein, putative	Aspergillus fumigatus Af293	
3506577	AFUA_7G08250	C6 finger domain protein, putative	Aspergillus fumigatus Af293	
3506581	AFUA_7G05190	MFS alpha-glucoside transporter, putative	Aspergillus fumigatus Af293	
3506584	AFUA_7G05160	fumarylacetoacetate hydrolase family protein	Aspergillus fumigatus Af293	
3506586	AFUA_7G05140	class III chitinase, putative	Aspergillus fumigatus Af293	
3506587	AFUA_7G05130	O-methyltransferase	Aspergillus fumigatus Af293	
3506588	AFUA_7G05670	ribose phosphate diphosphokinase Prs1, putative	Aspergillus fumigatus Af293	
3506589	AFUA_7G05660	translation elongation factor eEF-3, putative	Aspergillus fumigatus Af293	
3506590	AFUA_7G05650	glutamine-serine rich protein MS8, putative	Aspergillus fumigatus Af293	
3506593	AFUA_7G06380	maltase	Aspergillus fumigatus Af293	
3506594	AFUA_7G06370	C6 transcription factor, putative	Aspergillus fumigatus Af293	
3506596	AFUA_7G06350	sodium/phosphate symporter, putative	Aspergillus fumigatus Af293	
3506599	AFUA_7G06790	putative allantoate permease of the major facilitator superfamily	Aspergillus fumigatus Af293	
3506602	AFUA_7G06760	CRAL/TRIO domain protein	Aspergillus fumigatus Af293	
3506603	AFUA_7G06750	phosphoglycerate mutase family protein, putative	Aspergillus fumigatus Af293	
3506604	AFUA_7G06740	endoglucanase, putative	Aspergillus fumigatus Af293	
3506606	AFUA_7G05610	glucanase, putative	Aspergillus fumigatus Af293	
3506607	AFUA_7G05600	TPR domain protein	Aspergillus fumigatus Af293	
3506608	AFUA_7G05590	DUF890 domain protein	Aspergillus fumigatus Af293	
3506609	AFUA_7G05580	phospholipase PldA, putative	Aspergillus fumigatus Af293	
3506610	AFUA_7G06600	NADPH-dependent FMN reductase Lot6, putative	Aspergillus fumigatus Af293	
3506612	AFUA_7G06580	FAD/FMN-containing isoamyl alcohol oxidase MreA-like, putative	Aspergillus fumigatus Af293	
3506613	AFUA_7G06570	cation diffusion facilitator family metal ion transporter, putative	Aspergillus fumigatus Af293	
3506614	AFUA_7G06550	fungal specific transcription factor, putative	Aspergillus fumigatus Af293	
3506615	AFUA_7G06540	threonine aldolase, putative	Aspergillus fumigatus Af293	
3506616	AFUA_7G05740	malate dehydrogenase, NAD-dependent	Aspergillus fumigatus Af293	
3506618	AFUA_7G05720	pyruvate dehydrogenase complex, dihydrolipoamide acetyltransferase component, putative	Aspergillus fumigatus Af293	
3506620	AFUA_7G05700	guanyl-nucleotide exchange factor (Sec7), putative	Aspergillus fumigatus Af293	
3506621	AFUA_7G05680	siroheme synthase Met8, putative	Aspergillus fumigatus Af293	
3506622	AFUA_2G02520	cell polarity protein (Tea1), putative	Aspergillus fumigatus Af293	
3506623	AFUA_2G02530	casein kinase I, putative	Aspergillus fumigatus Af293	
3506624	AFUA_2G02540	bZIP transcription factor (Fcr3), putative	Aspergillus fumigatus Af293	
3506625	AFUA_2G02550	Phosducin family protein	Aspergillus fumigatus Af293	
3506626	AFUA_2G02560	Coatomer subunit gamma, putative	Aspergillus fumigatus Af293	
3506627	AFUA_2G06300	nuclear division Rft1 protein, putative	Aspergillus fumigatus Af293	
3506628	AFUA_2G06310	ATP-dependent RNA helicase, putative	Aspergillus fumigatus Af293	
3506629	AFUA_2G06320	replication protein A 70 kDa DNA-binding subunit	Aspergillus fumigatus Af293	
3506630	AFUA_2G06330	ubiquitin C-terminal hydrolase, putative	Aspergillus fumigatus Af293	
3506631	AFUA_2G06240	deoxycytidylate deaminase, putative	Aspergillus fumigatus Af293	
3506632	AFUA_2G06250	autophagy ubiquitin-activating enzyme ApgG, putative	Aspergillus fumigatus Af293	
3506635	AFUA_2G06280	oligosaccharyl transferase subunit (gamma), putative	Aspergillus fumigatus Af293	
3506636	AFUA_2G06290	nuclear division Rft1 protein, putative	Aspergillus fumigatus Af293	
3506637	AFUA_2G06220	zinc knuckle domain protein	Aspergillus fumigatus Af293	
3506638	AFUA_2G06230	glutamine amidotransferase:cyclase	Aspergillus fumigatus Af293	
3506639	AFUA_2G06180	RNA polymerase II holoenzyme/mediator complex component Rgr1, putative	Aspergillus fumigatus Af293	
3506640	AFUA_2G06190	DNA polymerase epsilon subunit B, putative	Aspergillus fumigatus Af293	
3506642	AFUA_2G06205	yippee family protein	Aspergillus fumigatus Af293	
3506643	AFUA_2G06110	chromatin remodeling and histone acetyltransferase complexes subunit (Arp4) putative	Aspergillus fumigatus Af293	
3506645	AFUA_2G06130	fungal specific transcription factor, putative	Aspergillus fumigatus Af293	
3506646	AFUA_2G06140	uracil DNA N-glycosylase Ung1, putative	Aspergillus fumigatus Af293	
3506647	AFUA_2G06150	protein disulfide isomerase Pdi1, putative	Aspergillus fumigatus Af293	
3506648	AFUA_2G06160	alpha-1,3-glucanase/mutanase, putative	Aspergillus fumigatus Af293	
3506649	AFUA_2G06170	autophagy protein Atg22, putative	Aspergillus fumigatus Af293	
3506650	AFUA_2G02690	fungal specific transcription factor, putative	Aspergillus fumigatus Af293	
3506651	AFUA_2G02700	mitochondrial DnaJ chaperone (Tim14), putative	Aspergillus fumigatus Af293	
3506652	AFUA_2G02710	60S ribosomal protein L24b	Aspergillus fumigatus Af293	
3506654	AFUA_2G02730	C2H2 finger domain protein, putative	Aspergillus fumigatus Af293	
3506656	AFUA_2G04590	alcohol dehydrogenase, putative	Aspergillus fumigatus Af293	
3506657	AFUA_2G04600	C6 transcription factor, putative	Aspergillus fumigatus Af293	
3506658	AFUA_2G04610	DUF967 domain protein	Aspergillus fumigatus Af293	
3506659	AFUA_2G04620	Hsp70 chaperone BiP/Kar2, putative	Aspergillus fumigatus Af293	
3506661	AFUA_2G04700	RNA binding effector protein Scp160, putative	Aspergillus fumigatus Af293	
3506662	AFUA_2G04710	cytochrome b5, putative	Aspergillus fumigatus Af293	
3506663	AFUA_2G04720	ubiquitin C-terminal hydrolase, putative	Aspergillus fumigatus Af293	
3506664	AFUA_2G04740	vacuolar sorting-associated protein (Vps27), putative	Aspergillus fumigatus Af293	
3506666	AFUA_2G03640	Ras GTPase activating protein, putative	Aspergillus fumigatus Af293	
3506667	AFUA_2G03650	Golgi to endosome transport protein (Ent3), putative	Aspergillus fumigatus Af293	
3506669	AFUA_2G03680	high osmolarity glycerol pathway protein Nbp2, putative	Aspergillus fumigatus Af293	
3506671	AFUA_2G03700	HMG-CoA reductase	Aspergillus fumigatus Af293	
3506672	AFUA_2G05480	DNA-directed RNA polymerase I 13.1 kDa polypeptide, putative	Aspergillus fumigatus Af293	
3506673	AFUA_2G05490	HEAT repeat protein	Aspergillus fumigatus Af293	
3506674	AFUA_2G05500	NADH-ubiquinone oxidoreductase 18 kDa subunit, putative	Aspergillus fumigatus Af293	
3506675	AFUA_2G05510	mitochondrial F1F0 ATP synthase subunit F (Atp17), putative	Aspergillus fumigatus Af293	
3506677	AFUA_2G05530	histone acetyltransferase (Esa1), putative	Aspergillus fumigatus Af293	
3506679	AFUA_2G04650	PAB-dependent poly(A)-specific ribonuclease subunit (Pan2), putative	Aspergillus fumigatus Af293	
3506680	AFUA_2G04670	SH3 domain protein	Aspergillus fumigatus Af293	
3506682	AFUA_2G04680	sexual development serine/threonine kinase PakA	Aspergillus fumigatus Af293	
3506683	AFUA_2G04690	nucleoside transporter, putative	Aspergillus fumigatus Af293	
3506686	AFUA_2G04760	BTB domain and ankyrin repeat protein	Aspergillus fumigatus Af293	
3506687	AFUA_2G04770	autophagy protein Atg13, putative	Aspergillus fumigatus Af293	
3506688	AFUA_2G04780	WD repeat protein	Aspergillus fumigatus Af293	
3506691	AFUA_2G00930	xylosidase/glycosyl hydrolase, putative	Aspergillus fumigatus Af293	
3506694	AFUA_2G00970	alcohol dehydrogenase, zinc-containing, putative	Aspergillus fumigatus Af293	
3506696	AFUA_2G00990	glycerophosphoryl diester phosphodiesterase family protein	Aspergillus fumigatus Af293	
3506698	AFUA_2G00880	C6 finger domain protein, putative	Aspergillus fumigatus Af293	
3506700	AFUA_2G00900	PTH11-like integral membrane protein, putative	Aspergillus fumigatus Af293	
3506701	AFUA_2G00910	Pfs, NB-ARC and TPR domain protein	Aspergillus fumigatus Af293	
3506702	AFUA_2G00920	extracellular glycosyl hydrolase/cellulase, putative	Aspergillus fumigatus Af293	
3506704	AFUA_2G03170	cyclic nucleotide-binding domain protein	Aspergillus fumigatus Af293	
3506705	AFUA_2G03180	C6 finger domain protein, putative	Aspergillus fumigatus Af293	
3506709	AFUA_2G03220	Bax Inhibitor family protein	Aspergillus fumigatus Af293	
3506710	AFUA_2G05540	cell division control protein (Cdc5), putative	Aspergillus fumigatus Af293	
3506712	AFUA_2G05560	exonuclease, putative	Aspergillus fumigatus Af293	
3506714	AFUA_2G05580	mRNA decapping hydrolase, putative	Aspergillus fumigatus Af293	
3506715	AFUA_2G05590	ubiquitin C-terminal hydrolase L3	Aspergillus fumigatus Af293	
3506716	AFUA_2G01700	carbon catabolite derepressing protein kinase Snf1, putative	Aspergillus fumigatus Af293	
3506717	AFUA_2G01710	GPI anchored protein, putative	Aspergillus fumigatus Af293	
3506720	AFUA_2G01740	sulfate transporter, putative	Aspergillus fumigatus Af293	
3506721	AFUA_2G01750	methionine aminopeptidase, type II, putative	Aspergillus fumigatus Af293	
3506722	AFUA_2G01760	NACHT domain protein	Aspergillus fumigatus Af293	
3506727	AFUA_2G00310	amino acid transporter, putative	Aspergillus fumigatus Af293	
3506728	AFUA_2G00320	sterol delta 5,6-desaturase, putative	Aspergillus fumigatus Af293	
3506729	AFUA_2G00330	beta-alanine synthase, putative	Aspergillus fumigatus Af293	
3506730	AFUA_2G02450	Leucine Rich Repeat domain protein	Aspergillus fumigatus Af293	
3506732	AFUA_2G02470	PA and RING finger domain protein	Aspergillus fumigatus Af293	
3506736	AFUA_2G02510	TORC1 growth control complex subunit Kog1, putative	Aspergillus fumigatus Af293	
3506738	AFUA_2G02750	S-adenosylmethionine-dependent methyltransferase, putative	Aspergillus fumigatus Af293	
3506739	AFUA_2G02760	protein-tyrosine phosphatase, putative	Aspergillus fumigatus Af293	
3506740	AFUA_2G02770	LPXTG-motif cell wall anchor domain protein, putative	Aspergillus fumigatus Af293	
3506741	AFUA_2G02780	KH domain RNA-binding protein	Aspergillus fumigatus Af293	
3506742	AFUA_2G02810	alcohol dehydrogenase, zinc-containing, putative	Aspergillus fumigatus Af293	
3506744	AFUA_2G03790	oxysterol binding protein (Osh7), putative	Aspergillus fumigatus Af293	
3506746	AFUA_2G03810	histone deacetylase HosA	Aspergillus fumigatus Af293	
3506747	AFUA_2G03820	carboxyphosphonoenolpyruvate phosphonomutase, putative	Aspergillus fumigatus Af293	
3506748	AFUA_2G03830	allergen Asp F4	Aspergillus fumigatus Af293	
3506749	AFUA_2G03840	mitochondrial import receptor subunit (Tom37), putative	Aspergillus fumigatus Af293	
3506750	AFUA_2G05310	C6 transcription factor, putative	Aspergillus fumigatus Af293	
3506751	AFUA_2G05320	calcium-proton exchanger, putative	Aspergillus fumigatus Af293	
3506752	AFUA_2G05330	vacuolar H+\/Ca2+ exchanger	Aspergillus fumigatus Af293	
3506753	AFUA_2G05340	1,3-beta-glucanosyltransferase, putative	Aspergillus fumigatus Af293	
3506754	AFUA_2G05350	MFS transporter, putative	Aspergillus fumigatus Af293	
3506755	AFUA_2G05600	MT-A70 family	Aspergillus fumigatus Af293	
3506756	AFUA_2G05610	RNA binding protein Jsn1, putative	Aspergillus fumigatus Af293	
3506757	AFUA_2G05620	signal transducer, putative	Aspergillus fumigatus Af293	
3506760	AFUA_2G05650	cytoplasmic asparaginyl-tRNA synthetase, putative	Aspergillus fumigatus Af293	
3506762	AFUA_2G01770	GMC oxidoreductase	Aspergillus fumigatus Af293	
3506763	AFUA_2G01780	small nucleolar ribonucleoprotein complex subunit Utp15, putative	Aspergillus fumigatus Af293	
3506764	AFUA_2G01790	conserved serine proline-rich protein	Aspergillus fumigatus Af293	
3506767	AFUA_2G01820	pre-mRNA splicing factor (Prp24), putative	Aspergillus fumigatus Af293	
3506768	AFUA_2G04800	pre-rRNA processing protein, putative	Aspergillus fumigatus Af293	
3506769	AFUA_2G04820	translation release factor eRF3, putative	Aspergillus fumigatus Af293	
3506770	AFUA_2G04830	RanGTP-binding protein	Aspergillus fumigatus Af293	
3506771	AFUA_2G04840	BSD domain protein	Aspergillus fumigatus Af293	
3506773	AFUA_2G04860	DNA repair protein Rad4, putative	Aspergillus fumigatus Af293	
3506774	AFUA_2G04870	pyruvate dehydrogenase E1 component alpha subunit, putative	Aspergillus fumigatus Af293	
3506777	AFUA_2G04550	MFS sugar transporter, putative	Aspergillus fumigatus Af293	
3506778	AFUA_2G04560	oxidoreductase, short-chain dehydrogenase/reductase family	Aspergillus fumigatus Af293	
3506779	AFUA_2G04570	BNR/Asp-box repeat domain protein	Aspergillus fumigatus Af293	
3506780	AFUA_2G03710	cell polarity protein, putative	Aspergillus fumigatus Af293	
3506781	AFUA_2G03720	peptidyl-prolyl cis-trans isomerase	Aspergillus fumigatus Af293	
3506782	AFUA_2G03730	Ctr copper transporter family protein	Aspergillus fumigatus Af293	
3506783	AFUA_2G03740	exosome complex endonuclease 1/ribosomal RNA processing protein, putative	Aspergillus fumigatus Af293	
3506784	AFUA_2G03750	DNA excision repair protein (Rad26L), putative	Aspergillus fumigatus Af293	
3506785	AFUA_2G03760	transcription/RNA-processing factor Ssu72	Aspergillus fumigatus Af293	
3506786	AFUA_2G03770	isochorismatase family hydrolase, putative	Aspergillus fumigatus Af293	
3506788	AFUA_2G06060	transcriptional co-activator (Hfi1/Ada1), putative	Aspergillus fumigatus Af293	
3506789	AFUA_2G06070	mRNA splicing factor (Prp1/Zer1), putative	Aspergillus fumigatus Af293	
3506790	AFUA_2G06080	GTPase activating protein (Gyp1), putative	Aspergillus fumigatus Af293	
3506791	AFUA_2G06090	heterogeneous nuclear ribonucleoprotein HRP1	Aspergillus fumigatus Af293	
3506792	AFUA_2G06100	DUF907 domain protein	Aspergillus fumigatus Af293	
3506793	AFUA_2G00090	telomere-associated RecQ helicase, putative	Aspergillus fumigatus Af293	
3506794	AFUA_2G04480	xylosidase/arabinosidase, putative	Aspergillus fumigatus Af293	
3506795	AFUA_2G04490	D-3-phosphoglycerate dehydrogenase	Aspergillus fumigatus Af293	
3506797	AFUA_2G04510	cysteine-binding protein FliY, putative	Aspergillus fumigatus Af293	
3506798	AFUA_2G04520	Fe-containing alcohol dehydrogenase, putative	Aspergillus fumigatus Af293	
3506802	AFUA_2G01850	phytanoyl-CoA dioxygenase family protein	Aspergillus fumigatus Af293	
3506804	AFUA_2G01860	integral membrane protein	Aspergillus fumigatus Af293	
3506808	AFUA_2G03860	plasma membrane low affinity zinc ion transporter, putative	Aspergillus fumigatus Af293	
3506809	AFUA_2G03870	FKBP-type peptidyl-prolyl isomerase, putative	Aspergillus fumigatus Af293	
3506810	AFUA_2G03880	heme/steroid binding protein, putative	Aspergillus fumigatus Af293	
3506811	AFUA_2G03890	Protein phosphatase 2C, putative	Aspergillus fumigatus Af293	
3506812	AFUA_2G03900	acetamidase/formamidase family protein	Aspergillus fumigatus Af293	
3506813	AFUA_2G05670	differentiation regulator (Nrd1), putative	Aspergillus fumigatus Af293	
3506820	AFUA_2G03110	alkaline phosphatase Pho8	Aspergillus fumigatus Af293	
3506821	AFUA_2G03120	cell wall glucanase (Utr2), putative	Aspergillus fumigatus Af293	
3506823	AFUA_2G03140	peptide methionine sulfoxide reductase	Aspergillus fumigatus Af293	
3506824	AFUA_2G03150	kinesin family protein	Aspergillus fumigatus Af293	
3506825	AFUA_2G03230	alpha-amylase AmyA	Aspergillus fumigatus Af293	
3506828	AFUA_2G03260	RNA binding protein (Rbm8A), putative	Aspergillus fumigatus Af293	
3506829	AFUA_2G03270	glycosyl hydrolase, putative	Aspergillus fumigatus Af293	
3506830	AFUA_2G03280	bZIP transcription factor, putative	Aspergillus fumigatus Af293	
3506831	AFUA_2G03290	14-3-3 family protein ArtA, putative	Aspergillus fumigatus Af293	
3506832	AFUA_2G00100	C6 transcription factor Aro80, putative	Aspergillus fumigatus Af293	
3506833	AFUA_2G00110	MFS transporter, putative	Aspergillus fumigatus Af293	
3506834	AFUA_2G00120	carboxyvinyl-carboxyphosphonate phosphorylmutase	Aspergillus fumigatus Af293	
3506835	AFUA_2G00130	solid-state culture specific protein, putative	Aspergillus fumigatus Af293	
3506836	AFUA_2G00140	FAD monooxygenase, putative	Aspergillus fumigatus Af293	
3506837	AFUA_2G03910	ATP-depentend DNA helicase, putative	Aspergillus fumigatus Af293	
3506838	AFUA_2G03920	G1/S-specific cyclin Cln1, putative	Aspergillus fumigatus Af293	
3506839	AFUA_2G03930	small nucleolar ribonucleoprotein complex subunit, putative	Aspergillus fumigatus Af293	
3506841	AFUA_2G03950	serine/threonine protein phosphatase, putative	Aspergillus fumigatus Af293	
3506842	AFUA_2G03960	acid phosphatase	Aspergillus fumigatus Af293	
3506845	AFUA_2G02820	Yippee zinc-binding protein Moh1, putative	Aspergillus fumigatus Af293	
3506847	AFUA_2G02840	TBC domain protein, putative	Aspergillus fumigatus Af293	
3506848	AFUA_2G02850	serine/threonine protein kinase, putative	Aspergillus fumigatus Af293	
3506849	AFUA_2G01000	LIM domain protein	Aspergillus fumigatus Af293	
3506850	AFUA_2G01010	myo-inositol-phosphate synthase, putative	Aspergillus fumigatus Af293	
3506852	AFUA_2G01030	1-aminocyclopropane-1-carboxylate deaminase, putative	Aspergillus fumigatus Af293	
3506853	AFUA_2G01040	formaldehyde dehydrogenase	Aspergillus fumigatus Af293	
3506854	AFUA_2G01050	mitochondrial intermembrane space translocase subunit Tim9, putative	Aspergillus fumigatus Af293	
3506855	AFUA_2G04880	cell wall biogenesis protein, putative	Aspergillus fumigatus Af293	
3506856	AFUA_2G04890	TAM domain methyltransferase, putative	Aspergillus fumigatus Af293	
3506858	AFUA_2G04910	proteasome component Pup1, putative	Aspergillus fumigatus Af293	
3506859	AFUA_2G04920	nuclear pore complex subunit Nup159, putative	Aspergillus fumigatus Af293	
3506861	AFUA_2G04420	integral membrane protein	Aspergillus fumigatus Af293	
3506862	AFUA_2G04430	DUF21 and CBS domain protein (Mam3), putative	Aspergillus fumigatus Af293	
3506863	AFUA_2G04440	C2H2 finger domain protein, putative	Aspergillus fumigatus Af293	
3506864	AFUA_2G04450	HECT domain protein	Aspergillus fumigatus Af293	
3506871	AFUA_2G04380	LaeA-like methyltransferase, putative	Aspergillus fumigatus Af293	
