"","V1"
"1","fumigaclavine C biosynthetic process"
"2","secondary metabolic process"
"3","ergot alkaloid biosynthetic process"
"4","structural constituent of ribosome"
"5","endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA. 5.8S rRNA. LSU-rRNA)"
"6","ribosomal large subunit biogenesis"
"7","rRNA processing"
"8","nucleolus"
