"","V1"
"1","RNA polymerase I activity"
"2","helvolic acid biosynthetic process"
"3","preribosome. small subunit precursor"
"4","ribosomal small subunit biogenesis"
"5","maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA. 5.8S rRNA. LSU-rRNA)"
"6","rRNA processing"
"7","ribosomal large subunit biogenesis"
"8","preribosome. large subunit precursor"
"9","small-subunit processome"
"10","nucleolus"
