"","V1"
"1","fumagillin biosynthetic process"
"2","nucleolus"
"3","ribosomal large subunit biogenesis"
"4","rRNA processing"
"5","secondary metabolic process"
"6","pseurotin A biosynthetic process"
"7","fumitremorgin B biosynthetic process"
"8","secondary metabolite biosynthetic process"
