"","V1"
"1","cytosolic small ribosomal subunit"
"2","obsolete rRNA export from nucleus"
"3","induction by symbiont of host defense response"
"4","mitochondrial small ribosomal subunit"
"5","eukaryotic translation initiation factor 3 complex"
"6","chaperonin-containing T-complex"
"7","one-carbon metabolic process"
"8","spindle microtubule"
"9","secondary metabolite biosynthetic process"
"10","secondary metabolic process"
