"","V1"
"1","nucleolus"
"2","rRNA processing"
"3","small-subunit processome"
"4","preribosome. large subunit precursor"
"5","ribosomal large subunit biogenesis"
"6","fumagillin biosynthetic process"
"7","ribosomal small subunit biogenesis"
"8","preribosome. small subunit precursor"
"9","pseurotin A biosynthetic process"
"10","ribosome biogenesis"
"11","syncytium formation by plasma membrane fusion"
"12","tRNA methylation"
"13","poly(A)+ mRNA export from nucleus"
"14","helvolic acid biosynthetic process"
"15","fumitremorgin B biosynthetic process"
"16","RNA polymerase I activity"
"17","conidium formation"
"18","filamentous growth of a population of unicellular organisms in response to starvation"
"19","fumigaclavine C biosynthetic process"
