"","V1"
"1","fumigaclavine C biosynthetic process"
"2","preribosome. small subunit precursor"
"3","fumitremorgin B biosynthetic process"
"4","syncytium formation by plasma membrane fusion"
"5","pseurotin A biosynthetic process"
"6","rRNA processing"
"7","fumagillin biosynthetic process"
