"","V1"
"1","fumigaclavine C biosynthetic process"
"2","syncytium formation by plasma membrane fusion"
"3","ribosomal small subunit biogenesis"
"4","fumitremorgin B biosynthetic process"
"5","pseurotin A biosynthetic process"
"6","preribosome. small subunit precursor"
"7","endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA. 5.8S rRNA. LSU-rRNA)"
"8","ribosomal large subunit biogenesis"
"9","fumagillin biosynthetic process"
"10","rRNA processing"
"11","nucleolus"
